"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"192155","AT 2025acse","21:31:47.180","+38:25:46.30","CV","0","","","XOSS","XOSS","XOSS","XOSS","KATS25V004","Other - Other","Other - Other","1","1","","14.7","Clear-","2025-11-07 15:32:09.312","XOSS_Bot0","","","2025TNSTR4478....1X","2025TNSCR4501....1Z","",""
"192154","AT 2025acsd","05:38:42.290","+70:51:37.50","CV","0","","","XOSS","XOSS","None","XOSS","KATS25V003","Other - Other","BL41 - FOSC-E5535","1","1","","14.52","Clear-","2025-11-07 19:38:01.248","XOSS_Bot0","","","2025TNSTR4478....1X","2025TNSCR4484....1B","",""
"191053","AT 2025abdh","16:57:18.090","+71:49:59.00","CV","0","","","XOSS","XOSS","XOSS","XOSS","KATS25U015","Other - Other","Other - Other","1","1","","14.32","Clear-","2025-10-21 12:48:25.632","XOSS_Bot0","","","2025TNSTR4228....1X","2025TNSCR4248....1Z","",""
"190359","AT 2025aaeu","02:38:38.738","-21:03:45.67","CV","0","","","XOSS, GOTO, ZTF","XOSS, GOTO, ZTF","ZTF","GOTO, XOSS, ZTF","KATS25T005","GOTO-N - GOTO-1, GOTO-S - GOTO-3, Other - Other, P48 - ZTF-Cam","LT - SPRAT","1","1","","16.45","Clear-","2025-10-12 19:39:19.872","XOSS_Bot0","","","2025TNSTR4103....1X","2025TNSCR4196....1W","",""
"190050","AT 2025zsx","22:30:07.497","+06:44:52.61","CV","0","","","LAST","LAST","None","LAST","","LAST - LAST-Cam","Other - Other","1","1","","17.01","Clear-","2025-10-10 16:56:04.704","LAST_Bot1","","","2025TNSTR4057....1O","2025TNSCR4120....1S","",""
"190036","AT 2025zsj","20:06:28.410","+10:05:25.80","CV","0","","","XOSS","XOSS","Padova-Asiago","XOSS","KATS25T002","Other - Other","Ekar - AFOSC","1","1","","17.28","Clear-","2025-10-09 15:56:41.568","XOSS_Bot0","","","2025TNSTR4059....1X","2025TNSCR4063....1R","",""
"190009","AT 2025zrj","20:52:28.860","+16:37:20.30","CV","0","","","XOSS","XOSS","BlackGEM, XOSS","XOSS","KATS25T001","Other - Other","Lesedi - Mookodi, Other - Other","1","1","","12.73","Clear-","2025-10-08 13:16:37.344","XOSS_Bot0","","","2025TNSTR4042....1X","2025TNSCR4044....1d, 2025TNSCR4052....1Z","",""
"189968","AT 2025zpv","02:45:17.240","+33:31:25.90","CV","0","","","GEOTS","GEOTS","None","GEOTS","GEOTS-Balaji-2025-10","Other - Other","Other - Other","1","1","","15.6","Clear-","2025-10-06 04:58:48.000","Balaji Kumar","","","2025TNSTR4020....1K","2025TNSCR4106....1S","",""
"189023","AT 2025ygf","03:17:36.460","+74:59:31.80","CV","0","","","XOSS","XOSS","XOSS","XOSS","KATS25S004","Other - Other","Other - Other","1","1","","13.78","Clear-","2025-09-21 18:55:54.048","XOSS_Bot0","","","2025TNSTR3796....1M","2025TNSCR3833....1Z","",""
"188562","AT 2025xop","19:43:43.348","-18:41:46.84","CV","0","","","LAST","LAST","BlackGEM","LAST","","LAST - LAST-Cam","Lesedi - Mookodi","1","1","","16.51","Clear-","2025-09-14 20:27:25.632","LAST_Bot1","","","2025TNSTR3708....1O","2025TNSCR3728....1d","",""
"187964","AT 2025wsg","01:09:59.876","+45:32:06.01","CV","","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS, ZTF","ATLAS25kxw","ATLAS-HKO - ATLAS-02, ATLAS-TDO - ATLAS-05, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","17.655","orange-ATLAS","2025-09-02 10:19:16.320","ATLAS_Bot1","","","2025TNSTR3514....1T","2025TNSCR3563....1T","",""
